date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Asnières,18,1,1750.0,2,0.82
2026-05-02,Clinique Vétérinaire Asnières,13,1,1365.51,2,0.54
2026-05-03,Clinique Vétérinaire Asnières,2,0,218.64,1,0.3
2026-05-04,Clinique Vétérinaire Asnières,19,2,1902.17,2,0.78
2026-05-05,Clinique Vétérinaire Asnières,18,1,1827.18,2,0.77
2026-05-06,Clinique Vétérinaire Asnières,20,2,2155.87,2,0.85
2026-05-07,Clinique Vétérinaire Asnières,16,1,1793.91,2,0.67
2026-05-08,Clinique Vétérinaire Asnières,14,1,1197.33,2,0.6
2026-05-09,Clinique Vétérinaire Asnières,14,1,1164.6,2,0.57
2026-05-10,Clinique Vétérinaire Asnières,2,0,212.05,1,0.3
2026-05-11,Clinique Vétérinaire Asnières,15,1,1464.39,2,0.62
2026-05-12,Clinique Vétérinaire Asnières,15,1,1531.73,2,0.68
2026-05-13,Clinique Vétérinaire Asnières,17,1,1393.88,2,0.7
2026-05-14,Clinique Vétérinaire Asnières,16,1,1545.54,2,
2026-05-15,Clinique Vétérinaire Asnières,21,1,2163.51,2,0.85
2026-05-16,Clinique Vétérinaire Asnières,15,1,1502.4,2,0.6
2026-05-17,Clinique Vétérinaire Asnières,3,0,278.78,1,0.3
2026-05-18,Clinique Vétérinaire Asnières,18,2,1682.23,2,0.79
2026-05-19,Clinique Vétérinaire Asnières,20,2,1990.98,2,0.92
2026-05-20,Clinique Vétérinaire Asnières,16,1,1521.65,2,0.67
2026-05-21,Clinique Vétérinaire Asnières,16,2,1507.3,2,0.66
2026-05-22,Clinique Vétérinaire Asnières,18,2,1618.42,2,0.73
2026-05-23,Clinique Vétérinaire Asnières,14,1,1607.14,2,0.63
2026-05-24,Clinique Vétérinaire Asnières,3,0,267.47,1,0.3
2026-05-25,Clinique Vétérinaire Asnières,16,2,1358.69,2,0.68
2026-05-26,Clinique Vétérinaire Asnières,18,1,1500.91,2,0.72
2026-05-27,Clinique Vétérinaire Asnières,17,1,1805.56,2,0.77
2026-05-28,Clinique Vétérinaire Asnières,16,1,1363.16,2,0.65
2026-05-29,Clinique Vétérinaire Asnières,20,2,2176.4,2,0.81
2026-05-30,Clinique Vétérinaire Asnières,15,1,1508.08,2,0.62
2026-05-31,Clinique Vétérinaire Asnières,3,0,285.28,1,0.3
