date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Colombes,11,1,978.34,2,0.47
2026-05-02,Clinique Vétérinaire Colombes,12,1,1285.21,2,0.49
2026-05-03,Clinique Vétérinaire Colombes,3,0,257.41,1,0.3
2026-05-04,Clinique Vétérinaire Colombes,17,1,1495.0,2,0.74
2026-05-05,Clinique Vétérinaire Colombes,16,2,1649.4,2,0.62
2026-05-06,Clinique Vétérinaire Colombes,16,2,1524.19,2,0.66
2026-05-07,Clinique Vétérinaire Colombes,21,2,2117.71,2,0.93
2026-05-08,Clinique Vétérinaire Colombes,16,1,1543.37,2,0.66
2026-05-09,Clinique Vétérinaire Colombes,14,2,1357.63,2,
2026-05-10,Clinique Vétérinaire Colombes,3,0,247.0,1,0.3
2026-05-11,Clinique Vétérinaire Colombes,18,2,1467.52,2,0.86
2026-05-12,Clinique Vétérinaire Colombes,19,2,1707.1,2,0.82
2026-05-13,Clinique Vétérinaire Colombes,15,1,1502.52,2,0.6
2026-05-14,Clinique Vétérinaire Colombes,17,2,1694.98,2,0.74
2026-05-15,Clinique Vétérinaire Colombes,18,2,1759.64,2,0.83
2026-05-16,Clinique Vétérinaire Colombes,15,1,1593.56,2,0.66
2026-05-17,Clinique Vétérinaire Colombes,3,0,268.37,1,0.3
2026-05-18,Clinique Vétérinaire Colombes,18,2,1657.56,2,0.75
2026-05-19,Clinique Vétérinaire Colombes,18,2,1812.07,2,0.8
2026-05-20,Clinique Vétérinaire Colombes,17,2,1794.49,2,0.75
2026-05-21,Clinique Vétérinaire Colombes,14,1,1451.19,2,0.6
2026-05-22,Clinique Vétérinaire Colombes,17,1,1682.74,2,0.7
2026-05-23,Clinique Vétérinaire Colombes,14,1,1231.72,2,0.54
2026-05-24,Clinique Vétérinaire Colombes,2,0,162.23,1,0.3
2026-05-25,Clinique Vétérinaire Colombes,14,1,1390.63,2,0.56
2026-05-26,Clinique Vétérinaire Colombes,16,1,1850.55,2,0.7
2026-05-27,Clinique Vétérinaire Colombes,16,1,1511.02,2,0.67
2026-05-28,Clinique Vétérinaire Colombes,14,1,1191.4,2,0.61
2026-05-29,Clinique Vétérinaire Colombes,22,2,2273.28,2,0.94
2026-05-30,Clinique Vétérinaire Colombes,16,1,1603.27,2,0.67
2026-05-31,Clinique Vétérinaire Colombes,3,0,289.56,1,0.3
