date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Courbevoie,31,3,3267.03,4,0.65
2026-05-02,Clinique Vétérinaire Courbevoie,28,3,2823.88,3,0.8
2026-05-03,Clinique Vétérinaire Courbevoie,6,1,573.06,2,0.3
2026-05-04,Clinique Vétérinaire Courbevoie,33,4,3567.59,4,0.69
2026-05-05,Clinique Vétérinaire Courbevoie,29,3,3702.21,4,0.62
2026-05-06,Clinique Vétérinaire Courbevoie,40,2,4054.8,4,0.87
2026-05-07,Clinique Vétérinaire Courbevoie,33,3,3532.37,4,0.72
2026-05-08,Clinique Vétérinaire Courbevoie,29,3,2981.82,4,0.54
2026-05-09,Clinique Vétérinaire Courbevoie,25,3,2286.86,3,0.71
2026-05-10,Clinique Vétérinaire Courbevoie,4,0,449.0,2,0.3
2026-05-11,Clinique Vétérinaire Courbevoie,39,4,4187.2,4,0.8
2026-05-12,Clinique Vétérinaire Courbevoie,25,2,2992.44,4,0.52
2026-05-13,Clinique Vétérinaire Courbevoie,37,4,3961.27,4,0.77
2026-05-14,Clinique Vétérinaire Courbevoie,32,3,3468.99,4,0.65
2026-05-15,Clinique Vétérinaire Courbevoie,34,3,3269.96,4,0.73
2026-05-16,Clinique Vétérinaire Courbevoie,22,2,2618.86,3,0.62
2026-05-17,Clinique Vétérinaire Courbevoie,4,0,435.97,2,0.3
2026-05-18,Clinique Vétérinaire Courbevoie,40,2,4926.65,4,0.82
2026-05-19,Clinique Vétérinaire Courbevoie,36,2,4351.15,4,0.78
2026-05-20,Clinique Vétérinaire Courbevoie,36,4,3340.96,4,0.71
2026-05-21,Clinique Vétérinaire Courbevoie,24,3,2633.5,4,
2026-05-22,Clinique Vétérinaire Courbevoie,38,3,3650.89,4,0.72
2026-05-23,Clinique Vétérinaire Courbevoie,27,2,2914.55,3,0.77
2026-05-24,Clinique Vétérinaire Courbevoie,4,0,455.14,2,0.3
2026-05-25,Clinique Vétérinaire Courbevoie,28,2,3204.8,4,0.57
2026-05-26,Clinique Vétérinaire Courbevoie,28,2,3145.94,4,0.57
2026-05-27,Clinique Vétérinaire Courbevoie,29,2,2772.67,4,0.6
2026-05-28,Clinique Vétérinaire Courbevoie,40,4,4332.19,4,0.8
2026-05-29,Clinique Vétérinaire Courbevoie,33,3,3806.74,4,0.67
2026-05-30,Clinique Vétérinaire Courbevoie,25,2,2575.62,3,0.68
2026-05-31,Clinique Vétérinaire Courbevoie,3,0,307.76,2,0.3
