date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire La Défense,55,3,6418.21,6,0.79
2026-05-02,Clinique Vétérinaire La Défense,52,5,6272.98,5,0.91
2026-05-03,Clinique Vétérinaire La Défense,7,0,861.85,2,0.3
2026-05-04,Clinique Vétérinaire La Défense,49,3,4573.54,6,0.71
2026-05-05,Clinique Vétérinaire La Défense,46,4,5564.46,6,0.61
2026-05-06,Clinique Vétérinaire La Défense,43,4,4818.48,6,0.62
2026-05-07,Clinique Vétérinaire La Défense,49,3,5833.31,6,0.64
2026-05-08,Clinique Vétérinaire La Défense,54,3,6066.01,6,0.79
2026-05-09,Clinique Vétérinaire La Défense,41,2,5554.91,5,0.68
2026-05-10,Clinique Vétérinaire La Défense,7,1,810.84,2,0.3
2026-05-11,Clinique Vétérinaire La Défense,53,6,5273.54,6,0.69
2026-05-12,Clinique Vétérinaire La Défense,53,6,6363.39,6,0.77
2026-05-13,Clinique Vétérinaire La Défense,51,6,5873.04,6,0.66
2026-05-14,Clinique Vétérinaire La Défense,48,4,5053.79,6,0.64
2026-05-15,Clinique Vétérinaire La Défense,54,3,6175.7,6,0.72
2026-05-16,Clinique Vétérinaire La Défense,47,5,5804.28,5,0.82
2026-05-17,Clinique Vétérinaire La Défense,7,1,805.57,2,0.3
2026-05-18,Clinique Vétérinaire La Défense,58,4,6746.69,6,0.79
2026-05-19,Clinique Vétérinaire La Défense,57,3,7455.77,6,0.79
2026-05-20,Clinique Vétérinaire La Défense,58,5,7376.72,6,0.84
2026-05-21,Clinique Vétérinaire La Défense,52,3,6904.05,6,0.63
2026-05-22,Clinique Vétérinaire La Défense,57,5,5962.6,6,0.83
2026-05-23,Clinique Vétérinaire La Défense,43,3,5218.96,5,0.77
2026-05-24,Clinique Vétérinaire La Défense,7,0,811.98,2,0.3
2026-05-25,Clinique Vétérinaire La Défense,58,7,7024.0,6,0.78
2026-05-26,Clinique Vétérinaire La Défense,55,6,7202.27,6,0.77
2026-05-27,Clinique Vétérinaire La Défense,48,5,5515.53,6,
2026-05-28,Clinique Vétérinaire La Défense,43,3,3996.21,6,0.61
2026-05-29,Clinique Vétérinaire La Défense,50,4,5521.33,6,0.69
2026-05-30,Clinique Vétérinaire La Défense,46,5,5018.49,5,0.82
2026-05-31,Clinique Vétérinaire La Défense,6,0,706.5,2,0.3
