date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Levallois,34,2,3763.43,4,0.82
2026-05-02,Clinique Vétérinaire Levallois,31,2,3756.13,3,0.76
2026-05-03,Clinique Vétérinaire Levallois,4,0,382.85,2,0.3
2026-05-04,Clinique Vétérinaire Levallois,28,3,3076.79,4,0.61
2026-05-05,Clinique Vétérinaire Levallois,32,3,3865.17,4,0.67
2026-05-06,Clinique Vétérinaire Levallois,29,2,3021.63,4,0.65
2026-05-07,Clinique Vétérinaire Levallois,29,2,2785.53,4,0.63
2026-05-08,Clinique Vétérinaire Levallois,39,3,1899.6,4,0.82
2026-05-09,Clinique Vétérinaire Levallois,25,2,2594.78,3,0.67
2026-05-10,Clinique Vétérinaire Levallois,4,0,345.5,2,0.3
2026-05-11,Clinique Vétérinaire Levallois,31,2,3104.92,4,0.63
2026-05-12,Clinique Vétérinaire Levallois,35,3,3939.76,4,0.74
2026-05-13,Clinique Vétérinaire Levallois,26,2,2930.06,4,0.52
2026-05-14,Clinique Vétérinaire Levallois,34,2,3754.18,4,0.61
2026-05-15,Clinique Vétérinaire Levallois,33,2,3306.16,4,0.71
2026-05-16,Clinique Vétérinaire Levallois,22,1,2905.14,3,0.56
2026-05-17,Clinique Vétérinaire Levallois,4,0,418.71,2,0.3
2026-05-18,Clinique Vétérinaire Levallois,30,3,3526.76,4,0.65
2026-05-19,Clinique Vétérinaire Levallois,23,2,2325.64,4,0.49
2026-05-20,Clinique Vétérinaire Levallois,31,2,3393.46,4,0.65
2026-05-21,Clinique Vétérinaire Levallois,32,2,3412.96,4,0.71
2026-05-22,Clinique Vétérinaire Levallois,33,2,3394.49,4,0.71
2026-05-23,Clinique Vétérinaire Levallois,28,2,2922.16,3,0.79
2026-05-24,Clinique Vétérinaire Levallois,6,1,633.99,2,0.3
2026-05-25,Clinique Vétérinaire Levallois,24,2,2382.96,4,0.45
2026-05-26,Clinique Vétérinaire Levallois,31,4,2924.75,4,0.65
2026-05-27,Clinique Vétérinaire Levallois,35,2,3111.35,4,0.74
2026-05-28,Clinique Vétérinaire Levallois,35,3,3829.95,4,0.75
2026-05-29,Clinique Vétérinaire Levallois,33,4,3445.59,4,0.71
2026-05-30,Clinique Vétérinaire Levallois,35,3,3632.61,3,0.98
2026-05-31,Clinique Vétérinaire Levallois,5,1,503.02,2,0.3
