date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Nanterre,30,3,3149.92,4,0.65
2026-05-02,Clinique Vétérinaire Nanterre,26,2,2588.13,3,0.71
2026-05-03,Clinique Vétérinaire Nanterre,5,0,581.64,2,0.3
2026-05-04,Clinique Vétérinaire Nanterre,34,2,4223.33,4,0.68
2026-05-05,Clinique Vétérinaire Nanterre,27,2,2955.8,4,0.59
2026-05-06,Clinique Vétérinaire Nanterre,35,3,3763.19,4,
2026-05-07,Clinique Vétérinaire Nanterre,28,3,2974.93,4,0.58
2026-05-08,Clinique Vétérinaire Nanterre,32,3,3656.66,4,0.68
2026-05-09,Clinique Vétérinaire Nanterre,28,3,3084.54,3,0.73
2026-05-10,Clinique Vétérinaire Nanterre,6,1,621.5,2,0.3
2026-05-11,Clinique Vétérinaire Nanterre,32,2,4157.9,4,0.68
2026-05-12,Clinique Vétérinaire Nanterre,31,3,3233.66,4,0.61
2026-05-13,Clinique Vétérinaire Nanterre,26,2,2756.36,4,0.56
2026-05-14,Clinique Vétérinaire Nanterre,31,2,3795.03,4,0.64
2026-05-15,Clinique Vétérinaire Nanterre,26,2,2806.51,4,0.51
2026-05-16,Clinique Vétérinaire Nanterre,26,1,2964.4,3,0.79
2026-05-17,Clinique Vétérinaire Nanterre,5,1,496.06,2,0.3
2026-05-18,Clinique Vétérinaire Nanterre,31,2,3051.63,4,0.73
2026-05-19,Clinique Vétérinaire Nanterre,32,4,3239.64,4,0.69
2026-05-20,Clinique Vétérinaire Nanterre,30,3,3098.25,4,0.62
2026-05-21,Clinique Vétérinaire Nanterre,30,2,3599.92,4,0.54
2026-05-22,Clinique Vétérinaire Nanterre,37,4,3333.18,4,0.76
2026-05-23,Clinique Vétérinaire Nanterre,26,2,2774.33,3,0.74
2026-05-24,Clinique Vétérinaire Nanterre,4,0,492.56,2,0.3
2026-05-25,Clinique Vétérinaire Nanterre,37,4,3770.79,4,0.74
2026-05-26,Clinique Vétérinaire Nanterre,30,2,3366.85,4,0.59
2026-05-27,Clinique Vétérinaire Nanterre,35,4,4026.11,4,0.69
2026-05-28,Clinique Vétérinaire Nanterre,31,2,3658.51,4,0.61
2026-05-29,Clinique Vétérinaire Nanterre,34,4,3181.49,4,0.77
2026-05-30,Clinique Vétérinaire Nanterre,25,2,2926.59,3,0.67
2026-05-31,Clinique Vétérinaire Nanterre,4,0,458.14,2,0.3
