date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Neuilly,67,4,8208.17,6,0.92
2026-05-02,Clinique Vétérinaire Neuilly,44,3,4706.58,5,0.78
2026-05-03,Clinique Vétérinaire Neuilly,9,1,993.88,2,0.4
2026-05-04,Clinique Vétérinaire Neuilly,56,3,7765.96,6,0.74
2026-05-05,Clinique Vétérinaire Neuilly,48,2,6437.3,6,0.7
2026-05-06,Clinique Vétérinaire Neuilly,42,4,4983.18,6,0.55
2026-05-07,Clinique Vétérinaire Neuilly,55,3,6812.19,6,0.76
2026-05-08,Clinique Vétérinaire Neuilly,47,5,5403.11,6,0.68
2026-05-09,Clinique Vétérinaire Neuilly,38,3,4973.25,5,0.71
2026-05-10,Clinique Vétérinaire Neuilly,8,1,1003.04,2,0.31
2026-05-11,Clinique Vétérinaire Neuilly,44,2,5448.54,6,0.65
2026-05-12,Clinique Vétérinaire Neuilly,54,5,6007.85,6,0.82
2026-05-13,Clinique Vétérinaire Neuilly,55,4,6871.35,6,0.73
2026-05-14,Clinique Vétérinaire Neuilly,59,6,6504.91,6,0.86
2026-05-15,Clinique Vétérinaire Neuilly,55,4,6039.52,6,0.77
2026-05-16,Clinique Vétérinaire Neuilly,39,4,4301.65,5,0.65
2026-05-17,Clinique Vétérinaire Neuilly,8,1,1035.33,2,0.34
2026-05-18,Clinique Vétérinaire Neuilly,50,3,7183.92,6,0.72
2026-05-19,Clinique Vétérinaire Neuilly,47,3,5564.63,6,0.65
2026-05-20,Clinique Vétérinaire Neuilly,51,6,14632.02,6,0.73
2026-05-21,Clinique Vétérinaire Neuilly,52,4,5913.9,6,0.75
2026-05-22,Clinique Vétérinaire Neuilly,49,6,6178.14,6,0.69
2026-05-23,Clinique Vétérinaire Neuilly,38,2,4710.02,5,0.69
2026-05-24,Clinique Vétérinaire Neuilly,8,1,857.68,2,0.34
2026-05-25,Clinique Vétérinaire Neuilly,55,4,5992.08,6,0.82
2026-05-26,Clinique Vétérinaire Neuilly,55,6,6756.76,6,0.78
2026-05-27,Clinique Vétérinaire Neuilly,76,8,9922.83,6,0.98
2026-05-28,Clinique Vétérinaire Neuilly,50,5,6258.23,6,0.67
2026-05-29,Clinique Vétérinaire Neuilly,51,4,5998.92,6,0.69
2026-05-30,Clinique Vétérinaire Neuilly,48,3,4933.25,5,0.78
2026-05-31,Clinique Vétérinaire Neuilly,9,1,1194.57,2,0.38
