date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Puteaux,29,3,3186.24,4,0.61
2026-05-02,Clinique Vétérinaire Puteaux,25,3,2994.5,3,0.72
2026-05-03,Clinique Vétérinaire Puteaux,4,0,438.44,2,0.3
2026-05-04,Clinique Vétérinaire Puteaux,35,2,3546.6,4,0.79
2026-05-05,Clinique Vétérinaire Puteaux,30,3,3070.66,4,0.68
2026-05-06,Clinique Vétérinaire Puteaux,34,3,3782.83,4,0.77
2026-05-07,Clinique Vétérinaire Puteaux,26,1,2699.22,4,0.58
2026-05-08,Clinique Vétérinaire Puteaux,29,2,3072.52,4,0.66
2026-05-09,Clinique Vétérinaire Puteaux,17,1,1685.54,3,0.47
2026-05-10,Clinique Vétérinaire Puteaux,4,0,485.33,2,0.3
2026-05-11,Clinique Vétérinaire Puteaux,38,4,3632.58,4,0.84
2026-05-12,Clinique Vétérinaire Puteaux,32,3,3400.02,4,0.67
2026-05-13,Clinique Vétérinaire Puteaux,5,3,540.0,4,0.72
2026-05-14,Clinique Vétérinaire Puteaux,27,2,3076.23,4,0.56
2026-05-15,Clinique Vétérinaire Puteaux,33,4,3386.46,4,0.68
2026-05-16,Clinique Vétérinaire Puteaux,26,3,2668.22,3,0.71
2026-05-17,Clinique Vétérinaire Puteaux,5,0,553.28,2,0.3
2026-05-18,Clinique Vétérinaire Puteaux,34,4,3834.08,4,0.68
2026-05-19,Clinique Vétérinaire Puteaux,32,2,3488.44,4,0.71
2026-05-20,Clinique Vétérinaire Puteaux,30,3,3642.5,4,0.61
2026-05-21,Clinique Vétérinaire Puteaux,37,3,4002.71,4,0.8
2026-05-22,Clinique Vétérinaire Puteaux,31,4,3275.4,4,0.63
2026-05-23,Clinique Vétérinaire Puteaux,28,2,3167.98,3,0.75
2026-05-24,Clinique Vétérinaire Puteaux,6,1,710.46,2,0.3
2026-05-25,Clinique Vétérinaire Puteaux,34,2,3856.58,4,0.71
2026-05-26,Clinique Vétérinaire Puteaux,29,3,2608.33,4,0.66
2026-05-27,Clinique Vétérinaire Puteaux,29,3,3051.47,4,0.62
2026-05-28,Clinique Vétérinaire Puteaux,30,3,3127.69,4,0.63
2026-05-29,Clinique Vétérinaire Puteaux,30,3,3300.15,4,0.58
2026-05-30,Clinique Vétérinaire Puteaux,23,1,2352.0,3,0.68
2026-05-31,Clinique Vétérinaire Puteaux,5,0,603.74,2,0.3
