date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Rueil-Malmaison,24,2,2943.78,4,0.51
2026-05-02,Clinique Vétérinaire Rueil-Malmaison,27,3,3142.71,3,0.75
2026-05-03,Clinique Vétérinaire Rueil-Malmaison,5,0,537.54,2,0.3
2026-05-04,Clinique Vétérinaire Rueil-Malmaison,25,3,2565.46,4,0.51
2026-05-05,Clinique Vétérinaire Rueil-Malmaison,32,2,3552.1,4,0.65
2026-05-06,Clinique Vétérinaire Rueil-Malmaison,29,3,2723.69,4,0.62
2026-05-07,Clinique Vétérinaire Rueil-Malmaison,36,3,4035.0,4,0.76
2026-05-08,Clinique Vétérinaire Rueil-Malmaison,36,4,3575.79,4,0.77
2026-05-09,Clinique Vétérinaire Rueil-Malmaison,21,1,2035.83,3,0.57
2026-05-10,Clinique Vétérinaire Rueil-Malmaison,5,0,524.97,2,0.3
2026-05-11,Clinique Vétérinaire Rueil-Malmaison,30,3,2875.39,4,0.6
2026-05-12,Clinique Vétérinaire Rueil-Malmaison,27,2,3049.9,4,0.51
2026-05-13,Clinique Vétérinaire Rueil-Malmaison,34,2,3726.3,4,0.68
2026-05-14,Clinique Vétérinaire Rueil-Malmaison,35,2,3963.73,4,0.67
2026-05-15,Clinique Vétérinaire Rueil-Malmaison,42,2,4501.14,4,0.93
2026-05-16,Clinique Vétérinaire Rueil-Malmaison,25,2,2738.85,3,0.68
2026-05-17,Clinique Vétérinaire Rueil-Malmaison,4,0,494.64,2,0.3
2026-05-18,Clinique Vétérinaire Rueil-Malmaison,30,3,2958.05,4,0.65
2026-05-19,Clinique Vétérinaire Rueil-Malmaison,29,2,3069.98,4,0.6
2026-05-20,Clinique Vétérinaire Rueil-Malmaison,34,3,3984.73,4,0.71
2026-05-21,Clinique Vétérinaire Rueil-Malmaison,34,2,3989.49,4,0.74
2026-05-22,Clinique Vétérinaire Rueil-Malmaison,34,4,3223.56,4,0.71
2026-05-23,Clinique Vétérinaire Rueil-Malmaison,29,3,3184.04,3,0.82
2026-05-24,Clinique Vétérinaire Rueil-Malmaison,4,0,447.44,2,0.3
2026-05-25,Clinique Vétérinaire Rueil-Malmaison,32,2,3644.42,4,0.67
2026-05-26,Clinique Vétérinaire Rueil-Malmaison,32,2,3067.5,4,0.68
2026-05-27,Clinique Vétérinaire Rueil-Malmaison,33,2,3427.5,4,0.73
2026-05-28,Clinique Vétérinaire Rueil-Malmaison,29,3,3235.37,4,0.55
2026-05-29,Clinique Vétérinaire Rueil-Malmaison,36,2,3425.93,4,0.76
2026-05-30,Clinique Vétérinaire Rueil-Malmaison,30,3,3424.91,3,0.84
2026-05-31,Clinique Vétérinaire Rueil-Malmaison,5,1,600.88,2,0.3
