date,clinique,nb_rdv,nb_nouveaux_clients,ca_ht,nb_praticiens,taux_occupation
2026-05-01,Clinique Vétérinaire Suresnes,16,2,1357.03,2,0.61
2026-05-02,Clinique Vétérinaire Suresnes,14,1,1341.07,2,0.54
2026-05-03,Clinique Vétérinaire Suresnes,2,0,165.68,1,0.3
2026-05-04,Clinique Vétérinaire Suresnes,19,2,1830.12,2,0.79
2026-05-05,Clinique Vétérinaire Suresnes,18,2,1928.7,2,0.81
2026-05-06,Clinique Vétérinaire Suresnes,16,2,1501.39,2,0.65
2026-05-07,Clinique Vétérinaire Suresnes,16,2,1505.79,2,0.66
2026-05-08,Clinique Vétérinaire Suresnes,20,2,1870.51,2,0.8
2026-05-09,Clinique Vétérinaire Suresnes,15,1,1387.07,2,0.6
2026-05-10,Clinique Vétérinaire Suresnes,3,0,336.24,1,0.3
2026-05-11,Clinique Vétérinaire Suresnes,16,1,1636.18,2,0.7
2026-05-12,Clinique Vétérinaire Suresnes,17,2,1559.6,2,0.66
2026-05-13,Clinique Vétérinaire Suresnes,16,1,1462.52,2,0.67
2026-05-14,Clinique Vétérinaire Suresnes,16,1,1596.07,2,0.67
2026-05-15,Clinique Vétérinaire Suresnes,19,1,2041.59,2,0.81
2026-05-16,Clinique Vétérinaire Suresnes,16,2,1799.65,2,0.69
2026-05-17,Clinique Vétérinaire Suresnes,2,0,210.63,1,0.3
2026-05-18,Clinique Vétérinaire Suresnes,19,2,1937.56,2,0.83
2026-05-19,Clinique Vétérinaire Suresnes,19,2,1765.3,2,0.81
2026-05-20,Clinique Vétérinaire Suresnes,17,1,1685.55,2,0.75
2026-05-21,Clinique Vétérinaire Suresnes,15,1,1519.19,2,0.64
2026-05-22,Clinique Vétérinaire Suresnes,17,2,1672.19,2,0.66
2026-05-23,Clinique Vétérinaire Suresnes,16,1,1755.55,2,0.67
2026-05-24,Clinique Vétérinaire Suresnes,3,0,331.1,1,0.3
2026-05-25,Clinique Vétérinaire Suresnes,18,1,1788.77,2,0.77
2026-05-26,Clinique Vétérinaire Suresnes,19,1,1709.09,2,0.8
2026-05-27,Clinique Vétérinaire Suresnes,16,2,1507.77,2,0.67
2026-05-28,Clinique Vétérinaire Suresnes,16,2,1615.32,2,0.72
2026-05-29,Clinique Vétérinaire Suresnes,17,2,1439.29,2,0.69
2026-05-30,Clinique Vétérinaire Suresnes,12,1,969.14,2,0.51
2026-05-31,Clinique Vétérinaire Suresnes,2,0,213.59,1,0.3
